ID,Contains Link,Contains Money Words,Length,Class
1,Yes,Yes,Long,Spam
2,No,No,Long,Spam
3,Yes,No,Long,Ham
4,No,Yes,Short,Ham
5,Yes,No,Long,Ham
6,No,No,Long,Spam
7,No,Yes,Short,Ham
8,Yes,Yes,Short,Spam
9,Yes,No,Short,Ham
10,Yes,No,Long,Ham
11,Yes,Yes,Short,Ham
12,No,Yes,Long,Ham
13,No,Yes,Long,Spam
14,Yes,No,Long,Ham
15,Yes,No,Short,Spam
16,Yes,Yes,Short,Spam
17,No,Yes,Short,Ham
18,No,No,Short,Ham
19,No,No,Long,Spam
20,Yes,Yes,Short,Spam
21,No,Yes,Long,Ham
22,No,No,Short,Ham
23,Yes,Yes,Long,Ham
24,Yes,Yes,Long,Spam
25,No,No,Long,Ham
26,Yes,Yes,Short,Ham
27,No,Yes,Short,Spam
28,No,No,Long,Ham
29,Yes,No,Short,Spam
30,No,No,Long,Ham
31,No,Yes,Short,Ham
32,No,No,Long,Ham
33,Yes,No,Long,Spam
34,Yes,No,Short,Spam
35,No,Yes,Short,Spam
36,No,No,Long,Spam
37,Yes,Yes,Long,Ham
38,No,Yes,Short,Ham
39,No,No,Short,Spam
40,Yes,No,Short,Ham
41,No,No,Short,Ham
42,No,Yes,Short,Spam
43,Yes,Yes,Long,Spam
44,Yes,No,Long,Ham
45,Yes,No,Long,Spam
46,Yes,Yes,Long,Spam
47,No,No,Short,Spam
48,Yes,No,Short,Spam
49,Yes,Yes,Long,Spam
50,No,No,Long,Spam
51,Yes,Yes,Long,Ham
52,No,Yes,Long,Ham
53,Yes,Yes,Short,Ham
54,Yes,Yes,Long,Spam
55,No,Yes,Long,Ham
56,No,Yes,Long,Spam
57,No,Yes,Short,Ham
58,Yes,Yes,Long,Ham
59,No,No,Long,Ham
60,No,Yes,Short,Spam
61,No,No,Short,Spam
62,No,Yes,Long,Ham
63,No,No,Long,Ham
64,Yes,Yes,Long,Spam
65,Yes,Yes,Short,Ham
66,No,No,Short,Spam
67,No,Yes,Short,Ham
68,Yes,Yes,Long,Spam
69,Yes,No,Long,Spam
70,No,Yes,Short,Spam
71,No,Yes,Long,Spam
72,Yes,No,Long,Spam
73,No,No,Long,Ham
74,No,Yes,Short,Ham
75,Yes,Yes,Long,Ham
76,Yes,Yes,Long,Ham
77,No,Yes,Long,Spam
78,Yes,Yes,Long,Ham
79,No,Yes,Short,Ham
80,Yes,No,Long,Spam
81,No,Yes,Short,Ham
82,No,No,Short,Spam
83,Yes,Yes,Long,Spam
84,Yes,No,Short,Spam
85,No,Yes,Long,Spam
86,No,Yes,Short,Ham
87,No,Yes,Short,Spam
88,Yes,No,Short,Spam
89,No,Yes,Short,Spam
90,Yes,Yes,Short,Spam
91,Yes,No,Long,Ham
92,No,Yes,Short,Spam
93,Yes,No,Short,Ham
94,No,Yes,Short,Spam
95,No,Yes,Short,Spam
96,Yes,No,Short,Spam
97,No,Yes,Short,Spam
98,No,No,Short,Ham
99,No,Yes,Short,Spam
100,No,No,Long,Ham
101,Yes,No,Short,Spam
102,No,Yes,Long,Spam
103,Yes,Yes,Long,Ham
104,Yes,Yes,Short,Spam
105,Yes,Yes,Short,Spam
106,No,No,Short,Spam
107,No,No,Long,Spam
108,No,Yes,Long,Ham
109,No,No,Long,Spam
110,No,No,Long,Spam
111,Yes,Yes,Long,Ham
112,No,Yes,Long,Spam
113,No,No,Long,Ham
114,Yes,No,Short,Spam
115,Yes,No,Long,Spam
116,Yes,No,Long,Ham
117,Yes,No,Long,Ham
118,No,Yes,Long,Spam
119,No,Yes,Short,Ham
120,Yes,Yes,Long,Spam
121,Yes,Yes,Short,Ham
122,No,Yes,Short,Ham
123,No,Yes,Short,Spam
124,Yes,Yes,Long,Spam
125,Yes,No,Short,Spam
126,Yes,Yes,Short,Ham
127,No,Yes,Short,Ham
128,Yes,Yes,Short,Ham
129,Yes,No,Long,Ham
130,No,No,Long,Ham
131,Yes,No,Short,Spam
132,No,No,Long,Ham
