ID,Prediction,True_Label,prediction_label,TP,FP
1,0.998,1,1,1,0
2,0.998,1,1,1,0
3,0.998,1,1,1,0
4,0.997,1,1,1,0
5,0.997,1,1,1,0
6,0.997,1,1,1,0
7,0.997,1,1,1,0
8,0.996,1,1,1,0
9,0.996,1,1,1,0
10,0.994,1,1,1,0
11,0.994,1,1,1,0
12,0.992,1,1,1,0
13,0.99,0,1,0,1
14,0.989,1,1,1,0
15,0.986,1,1,1,0
16,0.986,1,1,1,0
17,0.985,1,1,1,0
18,0.985,1,1,1,0
19,0.984,1,1,1,0
20,0.983,1,1,1,0
21,0.983,1,1,1,0
22,0.982,1,1,1,0
23,0.979,1,1,1,0
24,0.979,1,1,1,0
25,0.978,0,1,0,1
26,0.978,1,1,1,0
27,0.978,1,1,1,0
28,0.977,1,1,1,0
29,0.976,1,1,1,0
30,0.975,1,1,1,0
31,0.97,0,1,0,1
32,0.969,1,1,1,0
33,0.968,1,1,1,0
34,0.967,1,1,1,0
35,0.964,1,1,1,0
36,0.963,1,1,1,0
37,0.961,1,1,1,0
38,0.96,1,1,1,0
39,0.958,1,1,1,0
40,0.955,1,1,1,0
41,0.952,0,1,0,1
42,0.952,1,1,1,0
43,0.95,1,0,0,0
44,0.943,1,0,0,0
45,0.942,1,0,0,0
46,0.937,1,0,0,0
47,0.933,1,0,0,0
48,0.927,1,0,0,0
49,0.926,1,0,0,0
50,0.925,0,0,0,0
51,0.909,1,0,0,0
52,0.894,1,0,0,0
53,0.881,1,0,0,0
54,0.87,1,0,0,0
55,0.865,1,0,0,0
56,0.856,1,0,0,0
57,0.849,1,0,0,0
58,0.823,1,0,0,0
59,0.801,1,0,0,0
60,0.782,1,0,0,0
61,0.752,0,0,0,0
62,0.742,1,0,0,0
63,0.735,1,0,0,0
64,0.723,1,0,0,0
65,0.69,1,0,0,0
66,0.671,0,0,0,0
67,0.661,1,0,0,0
68,0.657,1,0,0,0
69,0.652,1,0,0,0
70,0.642,0,0,0,0
71,0.628,0,0,0,0
72,0.628,1,0,0,0
73,0.599,0,0,0,0
74,0.59,1,0,0,0
75,0.587,1,0,0,0
76,0.574,0,0,0,0
77,0.537,1,0,0,0
78,0.512,1,0,0,0
79,0.491,1,0,0,0
80,0.476,0,0,0,0
81,0.473,0,0,0,0
82,0.464,1,0,0,0
83,0.44,0,0,0,0
84,0.438,0,0,0,0
85,0.423,0,0,0,0
86,0.416,0,0,0,0
87,0.378,0,0,0,0
88,0.359,0,0,0,0
89,0.337,0,0,0,0
90,0.316,0,0,0,0
91,0.303,0,0,0,0
92,0.267,0,0,0,0
93,0.257,0,0,0,0
94,0.256,0,0,0,0
95,0.252,0,0,0,0
96,0.211,1,0,0,0
97,0.197,1,0,0,0
98,0.196,0,0,0,0
99,0.185,0,0,0,0
100,0.165,0,0,0,0
101,0.152,0,0,0,0
102,0.136,0,0,0,0
103,0.127,0,0,0,0
104,0.125,0,0,0,0
105,0.12,0,0,0,0
106,0.108,0,0,0,0
107,0.099,0,0,0,0
108,0.095,0,0,0,0
109,0.087,0,0,0,0
110,0.086,0,0,0,0
111,0.072,0,0,0,0
112,0.067,0,0,0,0
113,0.066,0,0,0,0
114,0.063,0,0,0,0
115,0.061,0,0,0,0
116,0.051,0,0,0,0
117,0.048,0,0,0,0
118,0.048,0,0,0,0
119,0.047,0,0,0,0
120,0.046,0,0,0,0
121,0.035,0,0,0,0
122,0.035,0,0,0,0
123,0.032,0,0,0,0
124,0.032,0,0,0,0
125,0.031,0,0,0,0
126,0.031,0,0,0,0
127,0.029,0,0,0,0
128,0.029,0,0,0,0
129,0.027,0,0,0,0
130,0.027,0,0,0,0
131,0.025,0,0,0,0
132,0.022,0,0,0,0
133,0.021,0,0,0,0
134,0.021,0,0,0,0
135,0.018,0,0,0,0
136,0.013,0,0,0,0
137,0.013,0,0,0,0
138,0.012,0,0,0,0
139,0.009,0,0,0,0
140,0.008,0,0,0,0
141,0.004,0,0,0,0
142,0.003,0,0,0,0
143,0.003,1,0,0,0
144,0.002,0,0,0,0
145,0.002,0,0,0,0
146,0.001,0,0,0,0
147,0,0,0,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0,0,0,0
